archetype_a,archetype_b,win,loss,draw,games,winrate
Other,Other,207,207,26,440,50.0
Other,Boros Energy,30,33,2,65,47.6
Other,W-U-B-G Goryo's Vengeance,36,34,6,76,51.4
Other,Izzet Affinity,35,30,5,70,53.8
Boros,W-U-B-G Goryo's Vengeance,3,1,1,5,75.0
Boros,Boros Energy,2,1,0,3,66.7
Boros,Other,8,7,3,18,53.3
Boros,Dimir Midrange,0,0,1,1,
Dimir Midrange,Other,13,9,2,24,59.1
Dimir Midrange,Boros Energy,2,1,0,3,66.7
Dimir Midrange,Boros,0,0,1,1,
Other,Amulet Titan,22,15,3,40,59.5
Other,Boros,7,8,3,18,46.7
Other,Dimir Midrange,9,13,2,24,40.9
Other,Mono-Red Storm,5,12,0,17,29.4
Other,Golgari Yawgmoth,7,13,3,23,35.0
Boros Energy,W-U-B-G Goryo's Vengeance,5,7,1,13,41.7
Boros Energy,Other,33,30,2,65,52.4
Boros Energy,Boros,1,2,0,3,33.3
Boros Energy,Amulet Titan,4,2,0,6,66.7
Boros Energy,Dimir Midrange,1,2,0,3,33.3
Mono-Red Storm,Other,12,5,0,17,70.6
Mono-Red Storm,W-U-B-G Goryo's Vengeance,2,2,0,4,50.0
Mono-Red Storm,Dimir Midrange,1,1,0,2,50.0
W-U-B-G Goryo's Vengeance,Other,34,36,6,76,48.6
W-U-B-G Goryo's Vengeance,Mono-Red Storm,2,2,0,4,50.0
W-U-B-G Goryo's Vengeance,Amulet Titan,1,6,1,8,14.3
Other,Ruby Storm,18,9,1,28,66.7
Amulet Titan,Other,15,22,3,40,40.5
Amulet Titan,Boros Energy,2,4,0,6,33.3
Boros Energy,Esper Blink,2,2,1,5,50.0
Boros Energy,Boros Energy,4,4,0,8,50.0
Dimir Midrange,Mono-Red Storm,1,1,0,2,50.0
Amulet Titan,Izzet Prowess,2,2,0,4,50.0
Amulet Titan,W-U-B-G Goryo's Vengeance,6,1,1,8,85.7
Izzet Affinity,Other,30,35,5,70,46.2
Izzet Affinity,Izzet Prowess,5,4,0,9,55.6
W-U-B-G Goryo's Vengeance,Boros,1,3,1,5,25.0
W-U-B-G Goryo's Vengeance,W-U-B-G Goryo's Vengeance,6,6,10,22,50.0
W-U-B-G Goryo's Vengeance,Izzet Prowess,4,3,0,7,57.1
Boros Energy,Izzet Affinity,8,5,1,14,61.5
Golgari Yawgmoth,Boros Energy,1,2,1,4,33.3
Golgari Yawgmoth,Izzet Prowess,2,0,0,2,100.0
Golgari Yawgmoth,Other,13,7,3,23,65.0
Izzet Prowess,W-U-B-G Goryo's Vengeance,3,4,0,7,42.9
Izzet Prowess,Golgari Yawgmoth,0,2,0,2,0.0
Izzet Prowess,Other,22,20,1,43,52.4
Boros Energy,Golgari Yawgmoth,2,1,1,4,66.7
W-U-B-G Goryo's Vengeance,Boros Energy,7,5,1,13,58.3
Other,Izzet Prowess,20,22,1,43,47.6
Izzet Prowess,Amulet Titan,2,2,0,4,50.0
Izzet Prowess,Izzet Affinity,4,5,0,9,44.4
Other,Esper Blink,9,9,2,20,50.0
Izzet Affinity,Boros Energy,5,8,1,14,38.5
Ruby Storm,Other,9,18,1,28,33.3
Esper Blink,Boros Energy,2,2,1,5,50.0
Esper Blink,Other,9,9,2,20,50.0
W-U-B-G Goryo's Vengeance,Golgari Yawgmoth,6,2,1,9,75.0
Boros,Izzet Prowess,4,1,0,5,80.0
Boros,Ruby Storm,1,0,0,1,100.0
Other,Gruul Broodscale,6,4,1,11,60.0
Golgari Yawgmoth,W-U-B-G Goryo's Vengeance,2,6,1,9,25.0
Izzet Prowess,Ruby Storm,1,0,1,2,100.0
Other,Domain Zoo,11,14,0,25,44.0
W-U-B-G Goryo's Vengeance,Esper Blink,0,1,1,2,0.0
Esper Blink,Gruul Broodscale,2,0,0,2,100.0
Esper Blink,W-U-B-G Goryo's Vengeance,1,0,1,2,100.0
Ruby Storm,Golgari Yawgmoth,2,0,0,2,100.0
Ruby Storm,Boros,0,1,0,1,0.0
Ruby Storm,Izzet Prowess,0,1,1,2,0.0
Boros,Golgari Yawgmoth,1,0,0,1,100.0
Gruul Broodscale,Boros Energy,2,0,0,2,100.0
Gruul Broodscale,Esper Blink,0,2,0,2,0.0
Gruul Broodscale,Gruul Broodscale,1,1,0,2,50.0
Gruul Broodscale,Other,4,6,1,11,40.0
Dimir Midrange,Gruul Eldrazi Ramp,1,0,0,1,100.0
Boros Energy,Gruul Broodscale,0,2,0,2,0.0
Domain Zoo,Other,14,11,0,25,56.0
Domain Zoo,Izzet Prowess,1,1,1,3,50.0
Izzet Prowess,Boros,1,4,0,5,20.0
Izzet Prowess,Gruul Eldrazi Ramp,3,0,0,3,100.0
Other,Izzet,15,7,0,22,68.2
Amulet Titan,Izzet,2,0,0,2,100.0
Gruul Broodscale,Izzet,1,0,0,1,100.0
Golgari Yawgmoth,Ruby Storm,0,2,0,2,0.0
Golgari Yawgmoth,Boros,0,1,0,1,0.0
Izzet Prowess,Domain Zoo,1,1,1,3,50.0
Gruul Eldrazi Ramp,Dimir Midrange,0,1,0,1,0.0
Gruul Eldrazi Ramp,Izzet Prowess,0,3,0,3,0.0
Izzet,Other,7,15,0,22,31.8
Izzet,Gruul Broodscale,0,1,0,1,0.0
Izzet,Amulet Titan,0,2,0,2,0.0
Boros Aggro,Boros Energy,4,4,0,8,50.0
Boros Aggro,Izzet Affinity,7,4,1,12,63.6
Boros Aggro,Mono-Red Storm,1,1,0,2,50.0
Boros Aggro,Other,11,15,1,27,42.3
Boros Aggro,Boros Aggro,2,2,0,4,50.0
Boros Energy,Boros Aggro,4,4,0,8,50.0
Boros Energy,Mono-Red Storm,3,1,0,4,75.0
Mono-Red Storm,Boros Aggro,1,1,0,2,50.0
