era_index,start_date,end_date,n_tournaments,n_matches,file
1,2020-08-13,2021-02-15,0,0,era_01_2020-08-13_2021-02-15.csv
2,2021-02-15,2022-03-07,0,0,era_02_2021-02-15_2022-03-07.csv
3,2022-03-07,2022-10-10,0,0,era_03_2022-03-07_2022-10-10.csv
4,2022-10-10,2023-08-07,0,0,era_04_2022-10-10_2023-08-07.csv
5,2023-08-07,2023-12-04,0,0,era_05_2023-08-07_2023-12-04.csv
6,2023-12-04,2024-03-11,0,0,era_06_2023-12-04_2024-03-11.csv
7,2024-03-11,2024-12-16,0,0,era_07_2024-03-11_2024-12-16.csv
8,2024-12-16,2025-03-31,2,86,era_08_2024-12-16_2025-03-31.csv
9,2025-03-31,2026-05-18,42,37398,era_09_2025-03-31_2026-05-18.csv
10,2026-05-18,2026-08-29,22,2478,era_10_2026-05-18_2026-08-29.csv
