tournament_id,tournament_name,tournament_start_date,organization_name,n_archetypes,n_matches,file
241354,South American Magic Series - Regional Championship (Final Regional MAR 2025),2025-03-15T12:00:00Z,Magicsur Chile,11,84,241354_matchup.csv
291504,04/19 Modern RCQ (Two Slot) Season 4 Round 1,2025-04-19T15:00:00Z,Owl Central Games,12,26,291504_matchup.csv
289983,Оттепель Модерна,2025-04-26T09:00:00Z,Magic tournaments Russia,29,234,289983_matchup.csv
294547,MTG SEA Championships Malaysia Open 2025-26 Round 1,2025-05-04T01:00:00Z,Oracle Events,26,104,294547_matchup.csv
300369,South America Magic Series |  Premium RCQ Mont,2025-05-18T14:00:00Z,Mont CardShop,20,186,300369_matchup.csv
300684,Dragon's Roost US RCQ | 2025-26 Round 1,2025-05-18T17:00:00Z,Dragon's Roost,12,42,300684_matchup.csv
312094,05/24 Modern RCQ (Two Slot) Season 4 Round 1,2025-05-24T15:00:00Z,Owl Central Games,17,56,312094_matchup.csv
310879,Wild West Wizards Season 4 Regional Qualifier #1,2025-05-24T17:00:00Z,Wild West Wizards,9,38,310879_matchup.csv
307373,US RCQ | 2025-26 Round 1 Squiggy's Dugout,2025-05-30T23:00:00Z,Dugout Sportscards   DBA   Squiggy's Dugout,13,58,307373_matchup.csv
285048,Magic Spotlight: Secret Lair - SCG CON Indianapolis - Saturday - 9:00 am,2025-05-31T13:00:00Z,Star City Games,100,5912,285048_matchup.csv
301585,South America Magic Series | Premium RCQ Mont,2025-06-14T14:00:00Z,Mont CardShop,29,274,301585_matchup.csv
307375,US RCQ | 2025-26 Round 1 Squiggy's Dugout,2025-06-27T23:00:00Z,Dugout Sportscards   DBA   Squiggy's Dugout,9,44,307375_matchup.csv
332163,Rcq qualifier,2025-07-05T22:00:00Z,M.O.E.’S Gaming Emporium,8,20,332163_matchup.csv
336082,Rcq qualifier,2025-07-12T22:26:00Z,M.O.E.’S Gaming Emporium,8,22,336082_matchup.csv
301611,South America Magic Series |  Premium RCQ Mont,2025-07-19T14:00:00Z,Mont CardShop,37,324,301611_matchup.csv
355723,Nordic Masters: Modern,2025-08-30T08:00:00Z,Mindstage,75,1450,355723_matchup.csv
369841,Regional Championship - T10,2025-10-11T15:30:00Z,Necrotower gamecenter,46,840,369841_matchup.csv
248718,Regional Championship - SCG CON Houston - Season 4 - Round 1 - Saturday - 9:00 am,2025-10-18T14:00:00Z,Star City Games,86,9020,248718_matchup.csv
354900,MIT Championship 台灣冠軍賽-第十輪,2025-10-19T01:00:00Z,GameSquare,42,612,354900_matchup.csv
241092,ANZ Super Series Cycle 10 Regional Championships - Melbourne,2025-10-24T23:00:00Z,ANZMTG Super Series,43,1369,241092_matchup.csv
375124,MTG SEA Championship Final 2025-26 Round 1,2025-11-01T01:00:00Z,Oracle Events,63,1148,375124_matchup.csv
373523,South America Regional Championship São Paulo 2025,2025-11-01T11:00:00Z,Devir Brasil,61,1862,373523_matchup.csv
372317,LDXP SEA25 11/01 Modern 20k 8 slot RCQ 9:00AM,2025-11-01T16:00:00Z,Laughing Dragon MTG,68,1357,372317_matchup.csv
375126,MTG SEA Championships Singapore Open 2025-26 Round 2,2025-11-02T01:00:00Z,Oracle Events,29,176,375126_matchup.csv
368826,龙盾杯 MTG China Open  S10 Regional Championship,2025-11-08T01:00:00Z,Kadou Event,98,2512,368826_matchup.csv
236512,チャンピオンズカップファイナル　シーズン4ラウンド1　Champions Cup Final Season 4 Round 1 ,2025-11-22T00:00:00Z,BIG MAGIC,76,3866,236512_matchup.csv
356537,Calgary Round 10 Regional Championship,2025-11-22T16:00:00Z,F2FTour.com,74,3188,356537_matchup.csv
392633,Рождественский турнир по модерну,2026-01-10T10:00:00Z,Magic tournaments Russia,48,412,392633_matchup.csv
399006,Destination Qualifier Modern,2026-02-01T08:30:00Z,Dungeon Street,66,1260,399006_matchup.csv
421078,RCQ #1 Ronda 1 2026-2027 | Armenia | 11 Abril,2026-04-11T23:00:00Z,Avalon Gaming,10,56,421078_matchup.csv
421081,RCQ #2 Ronda 1 2026-2027 | Armenia | 12 Abril,2026-04-12T18:00:00Z,Avalon Gaming,11,62,421081_matchup.csv
418086,Kazan Modern Championship,2026-04-25T08:00:00Z,KZN MTG Tournaments,26,190,418086_matchup.csv
420210,US RCQ | 2026-27 Round 1 Modern,2026-04-26T21:00:00Z,Super Duper Trading Cards ,9,56,420210_matchup.csv
425261,CAM Series Qualifier S13 - NYX Game Arena,2026-05-01T17:00:00Z,NYX Game Arena - Competitive tournament,22,146,425261_matchup.csv
413008,Season 5 - Round 1 RCQ .5k!,2026-05-09T15:00:00Z,Victory Comics - Falls Church,8,24,413008_matchup.csv
424688,Advantage Games Saturday Modern RCQ Round 1 2026 Season,2026-05-09T17:00:00Z,Advantage Games,10,52,424688_matchup.csv
423085,Майская битва за модерн,2026-05-10T12:00:00Z,Magic tournaments Russia,41,340,423085_matchup.csv
427426,MTG SEA Championships Malaysia Open 2026-27 Round 1,2026-05-24T04:00:00Z,Oracle Events,19,56,427426_matchup.csv
415728,Paragon Gaming Modern RCQ,2026-05-30T16:00:00Z,Paragon Gaming Knoxville,21,134,415728_matchup.csv
420211,US RCQ | 2026-27 Round 1 Modern,2026-05-31T21:00:00Z,Super Duper Trading Cards ,16,102,420211_matchup.csv
423709,Mont Destination Event ,2026-06-13T14:00:00Z,Mont CardShop,60,904,423709_matchup.csv
